Acronym/Jargon,What does it stand for?,Explanation
HAR,,CENELEC Agreement for electrical cords and cables. 
HDB,High Density Binary ,
HDLC,High-Level Data Link Control,
HDM/CSR,Home device manager - Customer service console,
HDSL,High-bit-rate Digital Subscriber Line,HDSL delivers 1.544 Mbps of bandwidth each way over two copper twisted pairs. Because HDSL provides T1 speed
HDTP,,Directorate for Telecommunications and Posts. The Netherlands. 
Header,,Control information placed before data when encapsulating that data for network transmission. 
HeNB,Home enhanced Node B,
HF,High Frequency,As designated by the ITU
Hierarchical Addressing,,Scheme of addressing that uses a logical hierarchy to determine location. e.g. IP addresses consist of network numbers
Hierarchical Routing,,The complex problem of routing on large networks can be simplified by reducing the size of the networks. This is accomplished by breaking a network into a hierarchy of networks
Hi-Fog,Hi-Fog Water Mist fire protection,
High Impact,,Severity 1 & 2 incidents or SLA Missed   
High Risk Locations,,e.g Overseas or Competitor Office 
Highlight (Service),,Positive Service Performance details for the reporting month
Hit,,Service Level Agreement Target reached
Hits,,The number of times a web site has been visited 
HLC,High level committee of ITU ,
HLD,High Level Design,"A solution design that provides an overview of the main components of a solution and how they interact, but does not detail any of the component configuration requirements, that is used as a basis for calculating associated costs."
HLD,HIGH LEVEL DESIGN,
HLR,Home Location Register,"Records registration of CTN to a base station, last registration info, bars, diverts and services"
HMSO,Her Majesty's Stationery Office UK ,
HOLD,Call Hold,
Home Page,,Acts as an introductory page to a web site
Homologation,,Conformity of a product or specification to international standards
Horizontal Consolidation,,Mergers of companies who provide services in the same market or the same stage in the value chain. 
Host,,Computer system on a network. Similar to node
Hosting,,A service provided by many service providers whereby systems and/or applications typically operating on a service in the customers premises are relocated to the service providers premises. Such services usually offer better facilities
HOSTING,HOSTING,Cover cloud services as well as firewall security issues
Hot Swappable,,Enables components to be added to or removed from a system whithout having to power down the deivce
HPF,High Pass Filter ,
HPMN,Home Public Mobile Network,
HSCSD,High Speed Circuit Switched Data,
HSS,Home Subscriber Server,IMS module that controls subscriptions. The IMS equivalent of an HLR.
HSSD,High Sensitivity Smoke Detector (similar to VESDA),
HTML,Hyper Text Mark-up Language,The authoring language used to create hypertext documents for the World Wide Web. Like SGML on which it is based
HTML,HyperText Markup Language,the standard markup language used to create web pages.
HTTP,Hyper Text Transfer Protocol,The application protocol for moving hypertext files across the Internet. This protocol requires an HTTP client programme on one end of a connection and an HTTP server on the other. 
Hub,,
HVAC,Heating Ventilation and  air-conditioning failure,
HVAC,Heating Ventilation and  air-conditioning failure,
HW,Hardware,
Hyperlink,,Text on a web page which
Hypermedia,,A combination of hypertext and multimedia that allows users to move in a non-linear fashion through text
Hypertext,,see HTML 
I/F,,Interface 
I/P,,Input 
IAF,International Accreditation Forum ,
IAM,Initial address message,
iBILL,iBILL,Fixed Billing CRM tool. Used for managing customer queries and tracking credits
IC,Integrated Circuit ,
ICC,Item Catalogue Category,
ICCS,Postpaid Billing System for Mobile,
ICM,incoming call module,
ICMP,Internet Control Mesasge Protocol,A network performance verification protocol used over TCP/IP that sends out test messages e.g. Ping 
ICMS,Inventory and Configuration Management service,"Single cross-VTIS infrastructure IT service management platform, through integration of assets and configuration elements(Remedy 7+CMDB) "
Icon,,A symbol that replaces the need for written instructions and launches an application
ICRM,intelligent call routing migration,
I-CSCF,Interrogating Call Server Control Funtion,
ICT,Information Communication Technology ,
IDA,Indirect Access,BTs proprietary basic rate integrated sevices digital network offering. 
IDA,Infrastructure Data Centre Architecture ,
IDD,Indicative Delivery Date,Term used by UK & GTES Delivery Teams
IDE,Integrated Development Environment ,a software application that provides comprehensive facilities to computer programmers for software development.
IDEAS,Integrated Data Exchange Activity System ,
IDF,Intermediate Distribution Frame ,
IDI,Initial Domain Identifier,Portion of an NSAP or NSAP-format ATM address that specifies the address allocation and administration authority. 
IDM,Identity Manager,
IDM,Suite of Identity Management Systems,
IDN,Integrated Digital Network ,
IDP,Initial Domain Part,Part of a CLNS address that contains an authority and format identifier
IDR,IPC (Intelligent Packet Charging) Data Repository,
IDR,IPC Data Repository,
IDS,Intruder Detection System,
IDT,Insulation Displacement Termination ,
IEC,Inter-Exchange Carrier,Common carrier providing communications channels between local telephone companies LEC's or Local Exchange Carriers. 
IEC,International Electrotechnical Commission,Industry group that writes and distributes standards for 10BaseT and other communications standards. 
IEE,Institute of Electrical Engineers UK ,
IEEE,Institute of Electrical & Electronic Engineers, An organisation that maintains the standards for 10BaseT and other communications standards. 
IEEE 802,,The main IEEE standard for Local and Metropolitan Area Networks LANs and MANs
IES,Information Exchange Services ,
IETF,Internet Engineering Task Force,Task force consisting of over 80 working groups responsible for developing Internet standards. The IETF operates under the auspices of ISOC. 
I-ETS,Interim European Telecommunications Standard ,
IF,Intermediate Frequency ,
IFC,Initial Filter Criteria,
IFL,International Facilities Licence,A licence granted by the Department of Trade and Industry DTI under the Telecommunications Act 1984 which allows the licensee to connect their telecommunications systems to another telecommunications system outside the UK or to satelite equipment for the purpose of providing international services under the conditions and obligations set out in the licence. 
IFS,input field separator,
IGMP,Internet Group Management Protocol,Used by IP hosts to report their multicast group memberships to an adjacent multicast router. 
IGP,Internet Gateway Protocol,Generic term applied to any protocol used to propagate network reach and routing information within autonomous system. 
IGRP,Interior Gateway Routing Protocol. ,
IIP,Investors in People ,
IIS ,Internet Information Services,an extensible web server created by Microsoft
Illustrations & Sketches,,A drawing which is an integral part of a document is termed an illustration or sketch. 
Image,,A picture or illustration
Image File,,a file containing an image 
Image Map,,An image with a number of different links associated with it. Clicks on different portions of the image to to different links. All browsers that can display images support server-side image maps; newer browsers also support client-side image maps
